Model,Segment,Spearman Correlation Coefficient between Max Frequency and LL,P-value,Mean ESM LL below 0.1,Mean ESM LL above 0.99,Difference in LL ESM Means
650M,HA,-0.0030265589664824305,0.8511054833996005,-103.06879141976657,-100.327125113351,2.741666306415567
650M,MP,0.05050226995953716,0.059236488409428904,-115.3391837750451,-115.21572629867062,0.12345747637448312
650M,NA,0.10329717984174513,7.507444024429823e-05,-166.17703053746288,-165.83356649979302,0.343464037669861
650M,NP,0.16289741938717098,1.0765889400865342e-09,-229.00373630348696,-228.83892576844542,0.1648105350415392
650M,NS,0.10971387094082458,4.3089550136693315e-05,-112.58442911608466,-112.62035869907689,-0.035929582992224596
650M,PA,0.18546889788791504,1.6481029054843634e-12,-351.0418076005954,-350.43339618883635,0.6084114117590502
650M,PB1,0.23958684568369512,1.2676760493569756e-20,-86.21558021286786,-82.07293515592008,4.142645056947785
650M,PB2,-0.10317776240875567,7.524595027339016e-05,-244.07120540224273,-244.30520675567809,-0.23400135343536022
3B,HA,0.26534878719997956,4.927951848357231e-63,-59.67774432162437,-47.23913855416434,12.438605767460025
3B,MP,0.221656536755857,5.347458546130854e-17,-114.71609196420444,-114.49122486729776,0.22486709690667794
3B,NA,0.3437418778477786,7.268765018335978e-42,-74.12161915981932,-62.088139119355574,12.033480040463743
3B,NP,-0.045783027579620925,0.08853120662762047,-227.37084058009157,-227.82142447091482,-0.45058389082325334
3B,NS,0.187752683758285,1.905925722382513e-12,-118.37914157735891,-115.78274103113122,2.5964005462276845
3B,PA,-0.12573411334023,1.893740624019817e-06,-345.3959581689927,-345.70319531535546,-0.3072371463627519
3B,PB1,0.262825805440811,1.2393419990308673e-24,-35.10504986876148,-26.595025258450896,8.510024610310587
3B,PB2,0.1611065626533747,5.437316465482609e-10,-176.19571672636886,-173.5238231727463,2.671893553622567
15B,HA,0.2944307469693273,7.74120963391533e-78,-53.64567077514211,-40.82524043491909,12.82043034022302
15B,MP,0.22201733508462373,4.7478454988702567e-17,-110.4937883474059,-109.98332465387159,0.5104636935343052
15B,NA,0.31926774424670123,4.805524208197122e-36,-42.23003707644087,-30.002796743227087,12.227240333213786
15B,NP,0.3061688437896975,1.9188459837143781e-31,-175.12137505767544,-173.80209958803403,1.3192754696414113
15B,NS,0.18096730812607506,1.1822642156675397e-11,-107.1206520343649,-106.58598054421914,0.5346714901457545
15B,PA,0.3189899057977082,4.097186673912486e-35,-75.31645332262354,-69.8471060412669,5.469347281356647
15B,PB1,0.2610139358412537,2.6348638538306354e-24,-29.425227852190954,-20.44363307952881,8.981594772662145
15B,PB2,0.2613679717544932,2.4432846935793678e-24,-44.01404402173799,-38.727463271089654,5.2865807506483335
